"","Movie_names","Year","rt_rating"
"1","Black Panther ","2018",9.8
"2","Avengers: Endgame ","2019",9.9
"3","Us ","2019",9.7
"4","Toy Story 4 ","2019",10
"5","The Wizard of Oz ","1939",9.6
"6","Lady Bird ","2017",9.6
"7","Mission: Impossible - Fallout ","2018",9.8
"8","Citizen Kane ","1941",10
"9","The Irishman ","2019",9.9
"10","BlacKkKlansman ","2018",9.7
"11","Get Out ","2017",9.7
"12","The Cabinet of Dr. Caligari (Das Cabinet des Dr. Caligari) ","1920",9.8
"13","Casablanca ","1942",9.3
"14","Mad Max: Fury Road ","2015",9.6
"15","Spider-Man: Into the Spider-Verse ","2018",9
"16","Moonlight ","2016",9.8
"17","Wonder Woman ","2017",9.8
"18","Roma ","2018",10
"19","A Star Is Born ","2018",9.9
"20","Inside Out ","2015",9.6
"21","The Farewell ","2019",9.9
"22","Modern Times ","1936",9.8
"23","The Third Man ","1949",9.6
"24","A Quiet Place ","2018",9.2
"25","Eighth Grade ","2018",9.7
"26","It Happened One Night ","1934",9.9
"27","Booksmart ","2019",9.3
"28","Dunkirk ","2017",9.7
"29","Coco ","2017",9.2
"30","Selma ","2014",9.8
"31","Thor: Ragnarok ","2017",10
"32","Spotlight ","2015",9.8
"33","The Shape of Water ","2017",9.7
"34","The Godfather ","1972",9.4
"35","Singin' in the Rain ","1952",10
"36","Snow White and the Seven Dwarfs ","1937",9.3
"37","La Grande illusion (Grand Illusion) ","1938",9.9
"38","Arrival ","2016",9
"39","The Kid ","1921",9.8
"40","Logan ","2017",9.3
"41","All About Eve ","1950",9.8
"42","Star Wars: The Last Jedi ","2017",10
"43","The Big Sick ","2017",9.6
"44","The Favourite ","2018",10
"45","E.T. The Extra-Terrestrial ","1982",9.8
"46","Shadow of a Doubt ","1943",10
"47","Gravity ","2013",9.7
"48","Paddington 2 ","2018",10
"49","King Kong ","1933",8.5
"50","The Adventures of Robin Hood ","1938",9.6
"51","Boyhood ","2014",9.7
"52","Laura ","1944",9.6
"53","Once Upon a Time In Hollywood ","2019",10
"54","Argo ","2012",9.5
"55","Nosferatu, a Symphony of Horror (Nosferatu, eine Symphonie des Grauens) (Nosferatu the Vampire) ","1922",9
"56","Manchester by the Sea ","2016",9.8
"57","Leave No Trace ","2018",9.1
"58","12 Years a Slave ","2013",9.3
"59","Spider-Man: Far From Home ","2019",9.9
"60","Alien ","1979",9.2
"61","La La Land ","2016",9.7
"62","Incredibles 2 ","2018",9.8
"63","Sunset Boulevard ","1950",9.4
"64","Star Wars: Episode VII - The Force Awakens ","2015",9.6
"65","Metropolis ","1927",10
"66","Zootopia ","2016",10
"67","Call Me by Your Name ","2018",9.4
"68","Psycho ","1960",9.9
"69","Top Hat ","1935",9.8
"70","The Maltese Falcon ","1941",9.6
"71","War for the Planet of the Apes ","2017",9.1
"72","The Battle of Algiers (La Battaglia di Algeri) ","1967",9.2
"73","A Hard Day's Night ","1964",10
"74","The Florida Project ","2017",10
"75","Widows ","2018",10
"76","Spider-Man: Homecoming ","2017",10
"77","Seven Samurai (Shichinin no Samurai) ","1956",9.2
"78","The Philadelphia Story ","1940",9.9
"79","Rebecca ","1940",9.9
"80","M ","1931",9.8
"81","Baby Driver ","2017",9.7
"82","North by Northwest ","1959",9
"83","Shoplifters (Manbiki kazoku) ","2018",9.8
"84","The Bride of Frankenstein ","1935",9.8
"85","Hell or High Water ","2016",9.1
"86","Shazam! ","2019",9.8
"87","Bicycle Thieves (Ladri di biciclette) (The Bicycle Thief) ","1949",10
"88","Up ","2009",10
"89","Captain America: Civil War ","2016",9
"90","Jaws ","1975",9.8
"91","Toy Story 2 ","1999",9.8
"92","Pinocchio ","1940",10
"93","Three Billboards Outside Ebbing, Missouri ","2017",9.8
"94","Toy Story 3 ","2010",9.9
"95","Lawrence of Arabia ","1962",9.9
"96","The Lady Eve ","1941",9.7
"97","The Godfather, Part II ","1974",9.4
"98","Rear Window ","1954",9.2
"99","Chinatown ","1974",10
"100","Won't You Be My Neighbor? ","2018",10
